sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1,12,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 a4 00 77 bf c0 00 08 ab 6a b0 f4 8d c9 d1 73 83 1f 90 80 00 00 00 02 f7 fd 80 00 03 60 8c c8 f5 8a 29 b0 03 fd fd c8 04 04 80",""
2,13,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 2d 00 d2 7f ea 3f c0 00 15 9d 67 b0 d8 49 c9 d1 7b 67 1f 10 84 00 00 00 03 8d c3 c0 00 03 73 32 80 f4 68 79 d7 4b fd fd c8 04 02 80",""
3,13,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","7e 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
4,13,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 a4 80 77 7f c0 00 2d eb 2a b0 cf 4d c9 d1 70 43 5f 90 80 00 00 00 02 b3 fd 80 00 03 08 90 c8 f5 be 2e 0c 03 fd fd c8 04 04 80",""
5,13,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 1a 00 04 19 94 6e 3f 61 17 ab be eb 1f 10 be 80 4f ac c3 2a 4a 27 45 53 36 81 42 00 00 00 00 3f 36",""
6,14,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 2d 00 d2 ff e9 ff c0 00 25 5f a7 b0 d1 4a 09 d1 7b 67 1f 10 84 00 00 00 03 85 cf c0 00 01 63 52 bc f6 b4 68 db 3b fd fd c8 04 02 80",""
7,14,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 70 00 f3 ff ea ff c2 00 30 42 69 b0 cb 2a 89 91 40 16 df 50 80 00 00 00 01 4f 6b 00 00 03 32 ab c0 f4 47 cb bd 17 fd fd 00 00 00 80",""
8,32,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 a4 80 77 7f c0 00 0f eb 2a b0 ea 0d 89 d1 6b 83 9f 90 80 00 00 00 02 a3 fd 80 00 02 0d 04 c8 f7 4e 32 90 03 fd fd c8 04 04 80",""
9,33,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 2d 00 d2 ff e9 ff c0 00 18 a2 27 b0 ca 8a 49 d1 7b 67 1f 10 84 00 00 00 03 b5 df c0 00 01 b2 4a d4 f6 ac 62 2b 2f fd fd c8 04 02 80",""
10,33,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4d 00 00 00 02 00 23 30 e6 e4 09 91 70 1e 9e 90 84 00 00 00 03 da d0 80 00 00 00 00 00 01 28 00 04 11",""
11,57,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 02 00 00 00 2d a2 e3 70 ee 9a 89 91 77 a3 1e 90 80 00 00 00 00 8a aa c0 00 00 00 00 00 01 28 00 04 11",""
12,58,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 a4 80 77 7f c0 00 31 6a ea b0 c5 0d 89 d1 66 03 df 90 80 00 00 00 02 a3 fd 80 00 02 e5 54 c4 f4 86 36 b0 03 fd fd c8 04 04 80",""
13,58,"PACKET","IN",200,38,"VehicleSync","id=200 bytes=38","c8 38 00 1c 00 00 00 00 00 00 00 39 10 29 70 89 63 07 9a 6a 9c 33 e6 e2 74 57 a9 57 b4 20 00 00 00 02 60 3d f0 00",""
14,58,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 70 00 f7 7f ea 3f c2 00 20 79 a9 70 f6 69 c9 91 77 d3 df 50 80 00 00 00 01 8f 73 00 00 00 4d df 9c f6 d7 c1 59 0f fd fd 00 00 00 80",""
15,80,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 a4 80 77 3f c0 00 13 2a ea b0 e0 4d 49 d1 60 04 1f 90 80 00 00 00 02 5f fd 80 00 03 2f 40 c0 f4 a2 36 b4 03 fd fd c8 04 04 80",""
16,80,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 2d 00 d3 7f e9 bf c0 00 03 e4 e7 b0 c4 8a 89 d1 7b 67 1f 10 84 00 00 00 01 bd eb c0 00 02 36 66 f4 f4 2c 5b 3f 1f fd fd c8 04 02 80",""
17,80,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 a4 80 76 ff c0 00 32 6a aa b0 fc 0d 09 d1 57 84 5f 90 80 00 00 00 02 23 fd 80 00 02 d0 a0 b8 f5 76 3b 3c 03 fd fd c8 04 04 80",""
18,80,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 2d 00 d3 ff e9 7f c0 00 31 a7 e7 b0 c6 4a c9 d1 7b 67 1f 10 84 00 00 00 03 1d f3 c0 00 03 be 7e e4 f5 e4 51 c3 17 fd fd c8 04 02 80",""
19,80,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 70 00 fa 7f e9 3f c0 00 36 f6 69 70 fe a9 89 91 40 93 1f 50 80 00 00 00 00 2b 83 00 00 02 59 e3 9c f4 7f c1 0d 0b fd fd 00 00 00 80",""
20,80,"PACKET","IN",200,46,"VehicleSync","id=200 bytes=46","c8 9e 00 2d 00 00 00 00 00 08 00 6e 10 17 a0 2e ab 0f d2 89 0c 22 ae 72 44 51 ea 97 f4 28 14 95 53 fd ff f9 58 59 a7 f7 f0 39 00 01 ff ff",""
21,80,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 9e 00 12 4c 47 7d 3f f0 da 1c 3d 0a a9 0f be 74 55 a2 c2 89 e1 24 45 7a 87 86 42 00 00 00 00 3f 22",""
22,101,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 a4 80 76 ff c0 00 0e ea aa b0 d7 8d 09 d1 4e 04 9f 90 80 00 00 00 02 43 fd 80 00 03 15 60 bc f5 7e 3f b4 03 fd fd c8 04 04 80",""
23,102,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 70 00 fb ff e8 ff c0 00 33 b3 a9 70 c7 29 89 91 40 12 5f 50 80 00 00 00 00 d7 87 00 00 00 76 07 9c f5 93 b3 b0 ef fd fd 00 00 00 80",""
24,127,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","76 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
25,127,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 2d 00 d4 ff e8 ff c0 00 17 2a a7 b0 fa 8a c9 d1 7b 67 1f 10 84 00 00 00 01 65 fb c0 00 01 d5 32 d0 f4 2c 4c b3 0f fd fd c8 04 02 80",""
26,128,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 70 00 fd ff e8 3f c0 00 37 b1 29 70 d3 29 49 91 5a 11 9f 50 80 00 00 00 00 c7 8f 00 00 03 36 0f 9c f4 4f af 7c e7 fd fd 00 00 00 80",""
27,128,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 76 00 00 01 0e 87 a2 f0 c1 28 c9 91 5a 1c 1e 90 84 00 00 00 03 6c 9f 40 00 00 00 00 00 01 00 00 00 80",""
28,128,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","00 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
29,128,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 a4 80 76 7f c0 00 0b aa 6a b0 ce 0c c9 d1 7e 84 df 90 80 00 00 00 01 ef fd 80 00 00 3b c0 c4 f4 ae 3b 24 03 fd fd c8 04 04 80",""
30,128,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 3d 00 00 00 17 e7 a8 30 da 39 09 91 7b 67 1f 10 84 00 00 00 00 e6 f1 c0 00 01 6c d2 3c ec 15 9a a4 0b fd fd 0f 05 04 16",""
31,128,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 70 00 ff 7f e7 bf c0 00 04 2e e9 70 db e9 09 91 44 11 1f 50 80 00 00 00 02 07 93 00 00 01 d7 3f 9c f6 cb a1 78 db fd fd 00 00 00 80",""
32,128,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 76 00 00 00 0e 87 a2 f0 c1 28 c9 91 5a 1c 1e 90 84 00 00 00 03 6c 9f 40 00 00 00 00 00 01 00 00 00 80",""
33,152,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 2d 00 d5 7f e8 bf c0 00 0e ad 67 b0 ee 8b 09 d1 7b 67 1f 10 84 00 00 00 01 7e 03 c0 00 01 e8 9e bc f4 70 4a 8b 07 fd fd c8 04 02 80",""
34,152,"PACKET","IN",200,38,"VehicleSync","id=200 bytes=38","c8 38 00 1c 00 00 00 00 00 00 00 39 30 29 d0 89 63 07 9a 6a 9c 33 e6 e2 74 57 a9 57 b4 20 00 00 00 02 60 3d f0 00",""
35,153,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 38 00 12 81 92 cf be 89 42 68 3f a4 0d e5 bd dc 07 a8 c3 43 fa 26 45 76 0f 81 42 00 00 00 00 3f c6",""
36,153,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 3d 00 00 00 34 a7 a8 30 c9 f9 09 91 7b 67 1f 10 84 00 00 00 00 e6 f1 c0 00 00 df 59 a4 ed 61 e0 e8 03 fd fd 0f 05 04 16",""
