sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1,21,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1a 00 00 00 09 dc ec 70 fa 45 c9 d1 74 c8 a0 50 84 00 00 00 01 f9 f5 80 00 04 00 00 00 01 87 04 08 80",""
2,46,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 63 00 00 00 35 23 63 70 dd 23 09 91 54 21 9e 90 80 00 00 00 02 22 63 80 00 00 00 00 00 01 28 00 04 11",""
3,46,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 0b 00 00 00 26 cb 68 30 e8 bd c9 91 7b 67 1f 10 84 00 00 00 02 2e 5f c0 00 00 00 00 00 01 28 00 04 11",""
4,47,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1a 00 00 80 09 dc ec 70 fa 45 c9 d1 74 c8 a0 50 84 00 00 00 01 f9 f5 80 00 04 00 00 00 01 a5 04 04 80",""
5,47,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 55 00 46 00 81 ff 00 00 08 00 03 80 6a 30 8c 3f 5b 86 29 9c 3c 4f a2 34 51 9b 37 c4 22 74 d0 f3 e8 fd bc 72 64 98 6d 50 3f 00 00",""
6,47,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 83 00 60 7f c0 00 39 aa a8 f0 e3 64 09 91 53 b7 5f 10 84 00 00 00 02 e5 61 c0 00 00 5b 02 dc f6 4c b0 4f 87 fd fd ac 04 64 80",""
7,74,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1a 00 00 00 09 dc ec 70 fa 45 c9 d1 74 c8 a0 50 84 00 00 00 01 f9 f5 80 00 04 00 00 00 01 a5 04 04 80",""
8,74,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 83 00 60 7f c0 00 05 ec 68 f0 dd 64 49 91 79 b6 df 10 84 00 00 00 02 19 61 c0 00 00 60 22 d8 f7 18 b0 ff 87 fd fd ac 04 64 80",""
9,75,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 38 00 30 00 00 00 00 00 00 00 78 e0 78 00 3b 6f 5e 44 3a 9c 39 79 b2 74 52 76 b7 e4 25 b0 59 53 c5 13 b4 51 4c f8 75 a0 5d f0 00",""
10,75,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 82 80 60 7f c0 00 30 ae a8 f0 f8 24 89 91 6c b6 5f 10 84 00 00 00 01 35 65 c0 00 03 02 06 c4 f7 b8 b1 87 87 fd fd ac 04 64 80",""
11,103,"PACKET","IN",207,43,"PlayerSync","id=207 bytes=43","cf 7e 00 60 3f c2 00 12 cf e8 f0 cb 9f 4a 51 40 30 1e 90 80 00 00 00 00 98 ff 94 00 03 f0 90 a4 f8 ca f5 af c3 fd fd ac 04 64 80",""
12,103,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1c 00 00 00 2d 1d 28 30 f6 cc c9 d1 7b 67 1f 10 84 00 00 00 00 65 93 00 00 00 00 00 00 01 28 00 04 11",""
13,103,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 81 80 60 7f c0 00 26 70 28 f0 ee 24 c9 91 5a b6 1f 10 84 00 00 00 03 bd 69 c0 00 01 bb fa a8 f5 34 b3 5f 83 fd fd ac 04 64 80",""
14,103,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 81 00 60 7f c0 00 03 f1 e8 f0 e8 65 09 91 45 b5 df 10 84 00 00 00 02 ed 6d c0 00 03 1d d6 a4 f7 f4 aa c7 7f fd fd ac 04 64 80",""
15,128,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 55 00 46 00 81 ff 00 00 08 00 05 b0 6e c0 83 2f 2c 42 a9 9c 39 9f 42 34 52 6c d7 c4 24 2c 91 73 e1 4e 2e 42 db 28 4d 50 3f 00 00",""
16,128,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 70 00 00 00 2a a3 e3 70 fe e5 c9 91 41 e3 5e 90 80 00 00 00 03 5b 53 00 00 00 00 00 00 01 28 00 04 11",""
17,155,"RPC","IN",138,3,"ServerQuit","id=138 bytes=3","9a 00 00",""
18,155,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1a 00 00 00 09 dc ec 70 fa 45 c9 d1 74 c8 a0 50 84 00 00 00 01 f9 f5 80 00 00 00 00 00 01 a5 04 04 80",""
19,155,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 38 00 30 00 00 00 00 00 00 00 79 a0 7e 60 3b 4f 57 c4 8a 9c 3b 79 a2 74 51 96 f7 e4 2b 39 47 13 c8 03 81 41 64 88 75 a0 5d f0 00",""
20,156,"PACKET","IN",207,43,"PlayerSync","id=207 bytes=43","cf 60 00 60 7f c0 00 32 f4 e8 f0 d7 e5 89 91 69 b5 1f 10 84 00 00 00 01 51 75 c0 00 03 1a 5e 8c f7 ec a3 7b 77 fd fd ac 04 64 80",""
21,156,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 7c 00 00 00 35 a2 e2 70 da 28 89 91 5f 9d de 90 80 00 00 00 01 98 6a 40 00 00 00 00 00 01 28 00 04 11",""
22,181,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
23,181,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
24,181,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
25,182,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
26,182,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
27,182,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
28,182,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
29,182,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
30,182,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
31,182,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
32,182,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
33,182,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
34,182,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
35,183,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
36,183,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
37,183,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
38,183,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
39,183,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
40,183,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
