sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1,14,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 00 00 00 00 20 00 51 f0 09 e0 1e 59 4a 0b 4a 6c 39 b6 f2 54 58 b8 f7 f4 26 30 a5 a3 d0 ff 99 35 69 e7 c6 40 7f 00 00",""
2,14,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 08 00 98 80 7e 3f c0 01 2f 3c 29 30 f3 0a ca 91 6a fa 5e 90 80 00 00 00 00 84 e7 c0 00 03 82 53 e4 f1 7a fc d7 bf fd fd c8 04 e8 80",""
3,14,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 7e 00 00 00 27 c2 66 f0 e4 cb 89 d1 7b 67 1f 10 84 00 00 00 00 5a b7 94 00 00 00 00 00 01 28 00 04 11",""
4,15,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 00 f7 9e a0 c3 55 1c 27 45 ed 9c 7c 42 58 d8 36 3f 00 00 00 80 00 00 00 00 cb 2c 33 bf 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 a5 04 04 80",""
5,36,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 08 00 96 00 7c ff c0 01 01 7b e9 30 cf 8b 0a 91 56 ba 5e 90 80 00 00 00 01 10 af c0 00 01 66 5b e4 f2 c2 dc fb cf fd fd c8 04 e8 80",""
6,36,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 55 00 00 00 32 ed e6 b0 da b6 49 91 7b 67 1f 10 84 00 00 00 00 72 71 80 00 00 00 00 00 01 a5 04 e8 80",""
7,36,"PACKET","IN",211,27,"PassengerSync","id=211 bytes=27","d3 97 00 29 00 01 00 64 4c 00 00 00 00 00 00 4a 34 a5 c3 76 6e 25 45 01 cc 7f 42",""
8,36,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 97 00 12 ca 5e 50 bf ac 92 13 bf 83 86 93 bd 70 de a1 c3 9a b4 25 45 e8 d9 82 42 00 00 00 00 3f 36",""
9,37,"RPC","IN",105,19,"TextDrawSetString","id=105 bytes=19 | TextDrawID=303 length=15 text=""09 Agustus 2026""","2f 01 0f 00 30 39 20 41 67 75 73 74 75 73 20 32 30 32 36",""
10,37,"RPC","IN",105,12,"TextDrawSetString","id=105 bytes=12 | TextDrawID=304 length=8 text=""12:19:00""","30 01 08 00 31 32 3a 31 39 3a 30 30",""
11,59,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 08 00 94 00 7b bf c0 01 23 7b 69 30 f0 cb 0a 91 47 7a 5e 90 80 00 00 00 02 f0 6f c0 00 00 c2 63 e4 f2 92 aa bf e3 fd fd c8 04 e8 80",""
12,59,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1b 00 00 00 14 4b 23 30 e7 5e 49 91 72 1f 1e 90 84 00 00 00 03 f6 d3 00 00 00 00 00 00 01 28 00 04 11",""
13,81,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 60 00 00 00 18 4b 23 30 d2 98 49 91 73 1f 1e 90 84 00 00 00 00 9a bd c0 00 00 00 00 00 01 28 00 04 11",""
14,81,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 08 00 90 00 7a 3f c0 01 28 3b 29 30 d2 4b 4a 91 40 ba 5e 90 80 00 00 00 01 30 27 c0 00 01 0e 67 e4 f2 46 6f f7 f3 fd fd c8 04 e8 80",""
15,89,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 3c 00 47 00 00 00 00 00 08 00 41 30 19 c0 8d 9f 55 1b 5b 4c 32 42 f2 74 55 51 a8 04 2b dc 5e 13 e5 6c 4c 81 37 b8 16 80 3a 00 50",""
16,89,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","1a 00",""
17,89,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","1a 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
18,108,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 08 00 8e 80 79 bf c0 01 16 bb 29 30 f0 8b 4a 91 43 ba 5e 90 84 00 00 00 03 ec 1b c0 00 02 4a 67 e4 f1 2a 26 a3 ff fd fd c8 04 e8 80",""
19,109,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 00 00 00 00 20 00 50 b0 0d 70 1f 79 48 09 1a 6c 31 a6 e2 54 5c b8 77 f4 28 ba 19 93 d0 8f 97 a5 6c 67 c6 40 7f 00 00",""
20,129,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 08 00 8d 00 79 3f c0 01 24 7b 29 30 cf cb 8a 91 4e ba 5e 90 84 00 00 00 03 10 57 c0 00 02 de 63 e4 f0 11 e7 3b ff fd fd c8 04 e8 80",""
21,129,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 6b 00 00 00 39 02 a6 f0 d3 4e 89 d1 7b 67 1f 10 84 00 00 00 03 7b 67 40 00 00 00 00 00 01 28 00 04 11",""
22,129,"PACKET","IN",211,27,"PassengerSync","id=211 bytes=27","d3 97 00 29 00 01 00 64 4c 00 00 00 00 00 00 e4 5a a5 c3 e1 6d 25 45 c1 cd 7f 42",""
23,149,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 08 00 8b 80 78 bf c0 01 0f fb 69 30 ef 4b 8a 91 61 3a 5e 90 84 00 00 00 03 34 87 c0 00 03 ba 5b e4 f1 39 a8 97 fb fd fd c8 04 e8 80",""
24,150,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 08 00 89 80 78 3f c0 01 12 bb a9 30 ce 0b ca 91 79 3a 5e 90 84 00 00 00 01 64 c7 c0 00 00 5e 57 e4 f1 f5 7a 23 ef fd fd c8 04 e8 80",""
25,177,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4f 00 00 00 0a f1 a3 30 c2 14 89 91 76 20 de 90 80 00 00 00 03 60 5a 00 00 00 00 00 00 01 28 00 04 11",""
