sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1,5,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 5e 00 00 00 3a 66 68 30 cf 44 89 d1 7b 67 1f 10 80 00 00 00 03 c3 ff 40 00 01 f4 1c c4 ed b2 14 74 03 fd fd 73 04 08 80",""
2,5,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 99 80 62 ff c0 00 1d be a2 f0 cc d7 89 91 61 1e 9e 90 80 00 00 00 03 14 d3 40 00 03 1a ff 70 f7 1a c9 fb d7 fd fd 00 00 00 80",""
3,5,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 88 00 fe 7f eb 7f c0 00 3a 90 26 30 d5 8c 49 51 7c 2b 5f 50 80 00 00 00 00 fb a2 80 00 03 d2 50 8c f4 f7 96 b8 c7 fd fd c8 04 04 80",""
4,32,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 88 00 85 00 6e bf c0 00 25 8f 26 30 f6 0c 09 51 47 2a 9f 50 80 00 00 00 01 e7 be 80 00 00 c0 cc 98 f7 e7 6f ec 9b fd fd c8 04 04 80",""
5,32,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 00 04 8d a0 c3 f8 22 27 45 ed 9c 7c 42 35 df 41 3f 00 00 00 80 00 00 00 00 7d 2e 27 bf 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 a5 04 08 80",""
6,55,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 43 00 00 00 0a b5 62 f0 c0 68 49 91 71 de 1e 90 84 00 00 00 01 28 53 00 00 00 00 00 00 01 28 00 04 11",""
7,55,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 54 00 00 00 38 c3 63 30 ca de 89 91 59 1e de 90 84 00 00 00 01 da 3e c0 00 00 00 00 00 01 28 00 04 11",""
8,55,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 63 00 00 00 32 ca a3 30 d3 66 89 91 6c 9f 1e 90 84 00 00 00 00 aa c4 40 00 00 00 00 00 01 28 00 04 11",""
9,55,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 63 00 04 5e 2b 7e bf 6b a5 44 3d b1 d6 df bd 4b 39 8b c3 d7 98 26 45 cf b7 7d 42 00 00 00 00 3f 1a",""
10,55,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4f 00 00 00 23 be 26 b0 e1 f7 49 91 7b 67 1f 10 80 00 00 00 02 58 c5 c0 00 00 00 00 00 01 28 00 04 11",""
11,81,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1f 00 00 00 05 25 a8 30 e1 ff 09 91 7b 67 1f 10 84 00 00 00 03 0b 6f 00 00 00 00 00 00 01 28 00 04 11",""
12,81,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 99 80 62 ff c0 00 26 3a 22 f0 c3 18 c9 91 6c 9e 5e 90 80 00 00 00 03 00 e7 40 00 03 67 fd 7c f5 36 dd bb cf fd fd 00 00 00 80",""
13,82,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 88 00 90 00 79 3f c0 00 22 4d e6 30 c0 cc 09 51 72 28 df 50 80 00 00 00 01 17 e2 80 00 01 ed 98 48 f7 97 10 80 53 fd fd c8 04 04 80",""
